n	x	y
1	0.001399613	-0.23436656
2	0.971629779	0.64689524
3	0.579119475	-0.92635765
4	0.335693937	0.13000706
5	0.736736086	-0.89294863
6	0.492572335	0.33854780
7	0.737133774	-1.24171910
8	0.563693769	-0.22523318
9	0.877603280	-0.12962722
10	0.141426545	0.37632006
11	0.307203910	0.30299077
12	0.024509308	-0.21162739
13	0.843665029	-0.76468719
14	0.771206067	-0.90455412
15	0.149670258	0.77097952
16	0.359605608	0.56466366
17	0.049612895	0.18897607
18	0.409898906	0.32531750
19	0.935457898	-0.78703491
20	0.149476207	0.80585375
21	0.234315216	0.62944986
22	0.455297119	0.02353327
23	0.102696671	0.27621694
24	0.715372314	-1.20379729
25	0.681745393	-0.83059624
